symbol,direction,setup_type,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,hold_seconds,setup_strength,composite_score,news_sentiment,has_catalyst
PLTR,LONG,TREND,2026-03-19 14:05:00,2026-03-19 13:31:00+00:00,153.106515,150.811065,49,-112.47704999999942,-0.01499250374812586,STOP_LOSS,-2040.0,0.3,0.0,0.0,False
RKLB,LONG,TREND,2026-03-19 13:45:00,2026-03-19 13:31:00+00:00,69.564765,68.52181499999999,107,-111.5956500000005,-0.014992503748126006,STOP_LOSS,-840.0,0.3,0.0,0.0,False
AMD,LONG,TREND,2026-03-19 13:45:00,2026-03-19 13:53:00+00:00,194.85737999999998,195.18157200000002,38,12.319296000001486,0.0016637399106979637,TRAILING_STOP,480.0,0.3,0.0,0.0,False
TSLA,SHORT,TREND,2026-03-20 13:45:00,2026-03-20 13:31:00+00:00,374.80567857142853,377.3353214285714,26,-65.770714285714,-0.006749211662919777,STOP_LOSS,-840.0,0.3,0.0,0.0,False
SMCI,SHORT,TREND,2026-03-20 13:45:00,2026-03-20 13:40:00+00:00,22.90775,22.49535,326,134.44240000000053,0.0180026410275999,TRAILING_STOP,-300.0,0.4115468409586055,0.0,0.0,False
NVDA,SHORT,TREND,2026-03-20 13:50:00,2026-03-20 14:20:00+00:00,177.35664285714284,176.2400142857143,67,74.8141142857128,0.006295950089267143,TRAILING_STOP,1800.0,0.3,0.0,0.0,False
RIVN,LONG,TREND,2026-03-23 13:50:00,2026-03-23 13:31:00+00:00,15.716500000000002,15.521500000000001,477,-93.01500000000013,-0.01240734260172432,STOP_LOSS,-1140.0,0.3,0.0,0.0,False
PLTR,LONG,TREND,2026-03-23 16:15:00,2026-03-23 13:31:00+00:00,157.41392857142856,156.39607142857142,66,-67.17857142857116,-0.006466118672562532,STOP_LOSS,-9840.0,0.3,0.0,0.0,False
SMR,LONG,TREND,2026-03-23 16:20:00,2026-03-23 13:36:00+00:00,11.615214285714286,11.458785714285714,645,-100.89642857142896,-0.013467557944321846,STOP_LOSS,-9840.0,0.3,0.0,0.0,False
PLTR,SHORT,TREND,2026-03-24 14:00:00,2026-03-24 13:31:00+00:00,154.91460714285716,156.27639285714287,49,-66.7274999999994,-0.008790557194066973,STOP_LOSS,-1740.0,0.3,0.0,0.0,False
LLY,SHORT,TREND,2026-03-24 13:50:00,2026-03-24 13:31:00+00:00,906.0586785714286,905.8187928571429,17,4.078057142857233,0.0002647573716350738,TRAILING_STOP,-1140.0,0.3,0.0,0.0,False
RKLB,SHORT,TREND,2026-03-24 13:50:00,2026-03-24 13:31:00+00:00,66.25164285714285,67.10235714285713,113,-96.13071428571311,-0.012840651929925031,STOP_LOSS,-1140.0,0.3,0.0,0.0,False
AMD,LONG,TREND,2026-03-25 13:45:00,2026-03-25 13:31:00+00:00,216.60771428571428,214.2762857142857,34,-79.26857142857153,-0.010763368142804585,STOP_LOSS,-840.0,0.3,0.0,0.0,False
RKLB,LONG,TREND,2026-03-25 13:45:00,2026-03-25 13:31:00+00:00,70.66975,69.47725,106,-126.40499999999952,-0.016874263740850867,STOP_LOSS,-840.0,0.3,0.0,0.0,False
SMCI,LONG,TREND,2026-03-25 13:45:00,2026-03-25 13:31:00+00:00,23.592,23.232,318,-114.47999999999982,-0.015259409969481157,STOP_LOSS,-840.0,0.3,0.0,0.0,False
LLY,SHORT,TREND,2026-03-26 13:45:00,2026-03-26 13:31:00+00:00,911.8790357142857,915.5079642857143,18,-65.32071428571408,-0.003979616187344385,STOP_LOSS,-840.0,0.3,0.0,0.0,False
SOFI,SHORT,TREND,2026-03-26 13:45:00,2026-03-26 13:31:00+00:00,16.4055,16.0773,500,164.09999999999945,0.020005485965072626,PROFIT_TARGET,-840.0,0.3,0.0,0.0,False
SMR,SHORT,TREND,2026-03-26 13:45:00,2026-03-26 13:35:00+00:00,11.405035714285715,11.302978571428572,657,67.05154285714315,0.00894842816926111,TRAILING_STOP,-600.0,0.3,0.0,0.0,False
SMR,SHORT,TREND,2026-03-27 13:45:00,2026-03-27 13:31:00+00:00,10.585321428571428,10.72567857142857,708,-99.37285714285713,-0.013259601402211283,STOP_LOSS,-840.0,0.3,0.0,0.0,False
RKLB,SHORT,TREND,2026-03-27 13:45:00,2026-03-27 13:31:00+00:00,65.30246428571428,65.8285357142857,128,-67.33714285714268,-0.008055920007394144,STOP_LOSS,-840.0,0.6128291488058775,0.0,0.0,False
SOFI,SHORT,TREND,2026-03-27 13:45:00,2026-03-27 13:31:00+00:00,15.445392857142856,15.583607142857142,488,-67.44857142857138,-0.008948576898797833,STOP_LOSS,-840.0,0.3,0.0,0.0,False
